classId,subject,Teachers,Key
Odd_2022_TE,CN L ,Dr.Anupam C ,Odd_2022_TE|CN L 
Odd_2022_TE,DWM L,Dr.Vishal P ,Odd_2022_TE|DWM L
Odd_2022_TE,SE L,Prof.Reshma L ,Odd_2022_TE|SE L
Odd_2022_TE,PCE (TH),Dr. Sharad T.,Odd_2022_TE|PCE (TH)
Odd_2022_TE,DWM,Dr.Vishal P ,Odd_2022_TE|DWM
Odd_2022_TE,PCE II,Dr. Sharad T.,Odd_2022_TE|PCE II
Odd_2022_TE,SE,Prof.Reshma L ,Odd_2022_TE|SE
Odd_2022_TE,Major-Project,,Odd_2022_TE|Major-Project
Odd_2022_TE,Mentoring,,Odd_2022_TE|Mentoring
Odd_2022_TE,NPTEL,,Odd_2022_TE|NPTEL
Odd_2022_TE,IP,Prof.Parinaz D.,Odd_2022_TE|IP
Odd_2023_BE,NLP L,Prof.Ramya K,Odd_2023_BE|NLP L
Odd_2023_BE,BC L,Prof. Manila G,Odd_2023_BE|BC L
Odd_2023_BE,ML L,Prof.Ashfaque S,Odd_2023_BE|ML L
Odd_2023_BE,BC,Prof. Manila G,Odd_2023_BE|BC
Odd_2023_BE,ML,Prof.Ashfaque S,Odd_2023_BE|ML
Odd_2023_BE,NLP,Prof.Ramya K,Odd_2023_BE|NLP
Odd_2023_BE,BDA,Prof.Reshma L ,Odd_2023_BE|BDA
Odd_2023_BE,NPTEL,,Odd_2023_BE|NPTEL
Odd_2023_BE,Mentoring,,Odd_2023_BE|Mentoring
Odd_2023_BE,DMMM,Prof.Madhavi D ,Odd_2023_BE|DMMM
Odd_2023_BE,CSL,Dr.Anupam C ,Odd_2023_BE|CSL
Odd_2023_BE,BDA L,Prof.Reshma L ,Odd_2023_BE|BDA L
Odd_2023_BE,Coding Club,,Odd_2023_BE|Coding Club
Odd_2023_BE,Major-Project,,Odd_2023_BE|Major-Project
Odd_2023_BE,AWS,Prof.Shiburaj P,Odd_2023_BE|AWS
Odd_2023_BE,VAPT (HONOURS),Prof. Ramya K,Odd_2023_BE|VAPT (HONOURS)
Odd_2023_BE,MOOC,,Odd_2023_BE|MOOC
Odd_2023_SE,DS,Prof. Manila M,Odd_2023_SE|DS
Odd_2023_SE,DLCOA,Prof.Dinesh Deore,Odd_2023_SE|DLCOA
Odd_2023_SE,DSGT,Prof.Madhvi S.,Odd_2023_SE|DSGT
Odd_2023_SE,Major-Project,,Odd_2023_SE|Major-Project
Odd_2023_SE,EM III,Prof.Dinesh C ,Odd_2023_SE|EM III
Odd_2023_SE,DS L,Prof. Manila M,Odd_2023_SE|DS L
Odd_2023_SE,SKL - Java,Prof. Ashfaque,Odd_2023_SE|SKL - Java
Odd_2023_SE,CG L,Dr. Anupam C,Odd_2023_SE|CG L
Odd_2023_SE,CG,Dr. Anupam C,Odd_2023_SE|CG
Odd_2023_SE,Mentoring,,Odd_2023_SE|Mentoring
Odd_2023_SE,DLCOA L,Prof.Dinesh Deore,Odd_2023_SE|DLCOA L
Odd_2023_SE,EM III (tutorial),Prof.Dinesh C ,Odd_2023_SE|EM III (tutorial)
Odd_2023_SE,SKL - Java (th),Prof. Ashfaque,Odd_2023_SE|SKL - Java (th)
Odd_2023_SE,MOOC,,Odd_2023_SE|MOOC
Odd_2023_TE,DWM,Prof. Nikhat S,Odd_2023_TE|DWM
Odd_2023_TE,CN,Prof.M Juned ,Odd_2023_TE|CN
Odd_2023_TE,PCE II,Prof.Rohit G,Odd_2023_TE|PCE II
Odd_2023_TE,CN L,Prof.M Juned ,Odd_2023_TE|CN L
Odd_2023_TE,SE L,Prof.Reshma L ,Odd_2023_TE|SE L
Odd_2023_TE,TCS,Prof. Nikhat S,Odd_2023_TE|TCS
Odd_2023_TE,AWS,Prof. Shiburaj P,Odd_2023_TE|AWS
Odd_2023_TE,Major-Project,,Odd_2023_TE|Major-Project
Odd_2023_TE,ADBMS,Prof. Ramya K,Odd_2023_TE|ADBMS
Odd_2023_TE,IP,Prof. Shiburaj P,Odd_2023_TE|IP
Odd_2023_TE,SE,Prof.Reshma L ,Odd_2023_TE|SE
Odd_2023_TE,DWM L,Prof. Nikhat S,Odd_2023_TE|DWM L
Odd_2023_TE,Mentoring,,Odd_2023_TE|Mentoring
Odd_2023_TE,Coding Club,,Odd_2023_TE|Coding Club
Odd_2023_TE,PCE (TH),Prof.Rohit G,Odd_2023_TE|PCE (TH)
Odd_2023_TE,NPTEL,,Odd_2023_TE|NPTEL
Odd_2023_TE,MOOC,,Odd_2023_TE|MOOC
